# Jump,tDelta_t [JHD],Delta_t [s],Gregorian Date,JHD Date
1,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 09:49:49,60015.40960636574
2,1.1689815437421203e-05,1.010000053793192,2023-03-12 09:49:49,60015.40960636574
3,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 10:31:45,60015.43872673611
4,4.641203850042075e-05,4.010000126436353,2023-03-12 10:31:42,60015.438692013886
5,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 10:47:58,60015.44998831018
6,1.1689815437421203e-05,1.010000053793192,2023-03-12 10:47:58,60015.44998831018
7,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 10:50:06,60015.45146979167
8,1.1689815437421203e-05,1.010000053793192,2023-03-12 10:50:06,60015.45146979167
9,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 10:52:14,60015.452951273146
10,1.1689815437421203e-05,1.010000053793192,2023-03-12 10:52:14,60015.452951273146
11,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 10:54:22,60015.45443275463
12,1.1689815437421203e-05,1.010000053793192,2023-03-12 10:54:22,60015.45443275463
13,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 10:56:30,60015.45591423611
14,1.1689815437421203e-05,1.010000053793192,2023-03-12 10:56:30,60015.45591423611
15,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 10:58:38,60015.457395717596
16,1.1689808161463588e-05,1.009999425150454,2023-03-12 10:58:38,60015.457395717596
17,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 11:15:13,60015.4689119213
18,1.1689808161463588e-05,1.009999425150454,2023-03-12 11:15:13,60015.4689119213
19,-4.618056118488312e-05,-3.9900004863739014,2023-03-12 11:16:28,60015.469779976855
20,4.641203850042075e-05,4.010000126436353,2023-03-12 11:16:25,60015.46974525463
21,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 11:18:36,60015.47126145833
22,4.641203850042075e-05,4.010000126436353,2023-03-12 11:18:33,60015.47122673611
23,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 11:20:44,60015.47274293981
24,4.6412031224463135e-05,4.009999497793615,2023-03-12 11:20:41,60015.472708217596
25,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 11:22:52,60015.4742244213
26,4.641203850042075e-05,4.010000126436353,2023-03-12 11:22:49,60015.474189699074
27,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 11:28:46,60015.47832164352
28,4.641203850042075e-05,4.010000126436353,2023-03-12 11:28:43,60015.478286921294
29,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 12:56:34,60015.53929386574
30,1.1689815437421203e-05,1.010000053793192,2023-03-12 12:56:34,60015.53929386574
31,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 12:58:42,60015.540775347225
32,1.1689815437421203e-05,1.010000053793192,2023-03-12 12:58:42,60015.540775347225
33,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 13:00:50,60015.5422568287
34,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:00:50,60015.5422568287
35,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 13:02:58,60015.54373831018
36,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:02:58,60015.54373831018
37,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 13:05:06,60015.54521979167
38,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:05:06,60015.54521979167
39,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 13:07:14,60015.546701273146
40,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:07:14,60015.546701273146
41,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 13:09:15,60015.54810173611
42,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:09:15,60015.54810173611
43,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 13:25:04,60015.559085532404
44,4.6412031224463135e-05,4.009999497793615,2023-03-12 13:25:01,60015.55905081019
45,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 13:27:12,60015.56056701389
46,4.641203850042075e-05,4.010000126436353,2023-03-12 13:27:09,60015.56053229167
47,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 13:29:20,60015.56204849537
48,4.641203850042075e-05,4.010000126436353,2023-03-12 13:29:17,60015.562013773146
49,-4.618056118488312e-05,-3.9900004863739014,2023-03-12 13:31:28,60015.563529976855
50,4.641203850042075e-05,4.010000126436353,2023-03-12 13:31:25,60015.56349525463
51,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 13:33:36,60015.56501145833
52,4.641203850042075e-05,4.010000126436353,2023-03-12 13:33:33,60015.56497673611
53,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 13:35:44,60015.56649293981
54,4.6412031224463135e-05,4.009999497793615,2023-03-12 13:35:41,60015.566458217596
55,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 13:39:16,60015.56894664352
56,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:39:16,60015.56894664352
57,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 13:41:24,60015.570428125
58,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:41:24,60015.570428125
59,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 13:43:32,60015.57190960648
60,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:43:32,60015.57190960648
61,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 13:45:40,60015.573391087964
62,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:45:40,60015.573391087964
63,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 13:47:48,60015.57487256944
64,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:47:48,60015.57487256944
65,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 13:49:56,60015.57635405093
66,1.1689815437421203e-05,1.010000053793192,2023-03-12 13:49:56,60015.57635405093
67,-4.618056118488312e-05,-3.9900004863739014,2023-03-12 13:51:11,60015.57722210648
68,4.641203850042075e-05,4.010000126436353,2023-03-12 13:51:08,60015.57718738426
69,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 13:53:27,60015.578796180554
70,4.641203850042075e-05,4.010000126436353,2023-03-12 13:53:24,60015.57876145833
71,-4.618056118488312e-05,-3.9900004863739014,2023-03-12 13:55:35,60015.58027766204
72,4.6412031224463135e-05,4.009999497793615,2023-03-12 13:55:32,60015.58024293982
73,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 13:57:43,60015.58175914352
74,4.641203850042075e-05,4.010000126436353,2023-03-12 13:57:40,60015.581724421296
75,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 13:59:51,60015.583240625
76,4.641203850042075e-05,4.010000126436353,2023-03-12 13:59:48,60015.583205902774
77,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 14:01:59,60015.58472210648
78,4.641203850042075e-05,4.010000126436353,2023-03-12 14:01:56,60015.58468738426
79,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 14:04:07,60015.58620358796
80,4.641203850042075e-05,4.010000126436353,2023-03-12 14:04:04,60015.58616886574
81,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 14:21:58,60015.5985994213
82,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:21:58,60015.5985994213
83,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 14:24:06,60015.600080902776
84,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:24:06,60015.600080902776
85,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 14:26:14,60015.60156238426
86,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:26:14,60015.60156238426
87,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 14:28:22,60015.60304386574
88,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:28:22,60015.60304386574
89,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 14:30:30,60015.604525347226
90,1.1689808161463588e-05,1.009999425150454,2023-03-12 14:30:30,60015.604525347226
91,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 14:32:38,60015.606006828704
92,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:32:38,60015.606006828704
93,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 14:36:09,60015.60844895833
94,4.6412031224463135e-05,4.009999497793615,2023-03-12 14:36:06,60015.608414236114
95,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 14:38:17,60015.609930439816
96,4.641203850042075e-05,4.010000126436353,2023-03-12 14:38:14,60015.60989571759
97,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 14:40:25,60015.611411921294
98,4.641203850042075e-05,4.010000126436353,2023-03-12 14:40:22,60015.61137719907
99,-4.618056118488312e-05,-3.9900004863739014,2023-03-12 14:42:33,60015.61289340278
100,4.641203850042075e-05,4.010000126436353,2023-03-12 14:42:30,60015.61285868056
101,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 14:44:41,60015.61437488426
102,4.641203850042075e-05,4.010000126436353,2023-03-12 14:44:38,60015.614340162036
103,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 14:46:49,60015.61585636574
104,4.6412031224463135e-05,4.009999497793615,2023-03-12 14:46:46,60015.61582164352
105,-4.6180553908925503e-05,-3.9899998577311635,2023-03-12 14:48:50,60015.6172568287
106,4.6412031224463135e-05,4.009999497793615,2023-03-12 14:48:47,60015.617222106484
107,-1.1458338121883571e-05,-0.9900004137307405,2023-03-12 14:50:21,60015.61831006945
108,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:50:21,60015.61831006945
109,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 14:52:29,60015.619791550926
110,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:52:29,60015.619791550926
111,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 14:54:37,60015.621273032404
112,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:54:37,60015.621273032404
113,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 14:56:45,60015.62275451389
114,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:56:45,60015.62275451389
115,-1.1458330845925957e-05,-0.9899997850880027,2023-03-12 14:58:53,60015.62423599537
116,1.1689815437421203e-05,1.010000053793192,2023-03-12 14:58:53,60015.62423599537
